Date,Sunrise,Sunset
1/1/2009,07:19:59,16:38:43
1/2/2009,07:20:04,16:39:35
1/3/2009,07:20:06,16:40:28
1/4/2009,07:20:07,16:41:22
1/5/2009,07:20:05,16:42:18
1/6/2009,07:20:01,16:43:16
1/7/2009,07:19:54,16:44:15
1/8/2009,07:19:46,16:45:15
1/9/2009,07:19:35,16:46:16
1/10/2009,07:19:21,16:47:18
1/11/2009,07:19:06,16:48:22
1/12/2009,07:18:48,16:49:26
1/13/2009,07:18:29,16:50:32
1/14/2009,07:18:06,16:51:38
1/15/2009,07:17:42,16:52:45
1/16/2009,07:17:16,16:53:53
1/17/2009,07:16:47,16:55:02
1/18/2009,07:16:17,16:56:12
1/19/2009,07:15:44,16:57:22
1/20/2009,07:15:09,16:58:33
1/21/2009,07:14:32,16:59:44
1/22/2009,07:13:53,17:00:56
1/23/2009,07:13:12,17:02:08
1/24/2009,07:12:29,17:03:21
1/25/2009,07:11:44,17:04:33
1/26/2009,07:10:57,17:05:47
1/27/2009,07:10:09,17:07:00
1/28/2009,07:09:18,17:08:14
1/29/2009,07:08:26,17:09:28
1/30/2009,07:07:31,17:10:42
1/31/2009,07:06:35,17:11:56
2/1/2009,07:05:38,17:13:11
2/2/2009,07:04:38,17:14:25
2/3/2009,07:03:37,17:15:39
2/4/2009,07:02:35,17:16:53
2/5/2009,07:01:31,17:18:08
2/6/2009,07:00:25,17:19:22
2/7/2009,06:59:17,17:20:36
2/8/2009,06:58:09,17:21:50
2/9/2009,06:56:58,17:23:04
2/10/2009,06:55:47,17:24:17
2/11/2009,06:54:34,17:25:31
2/12/2009,06:53:19,17:26:44
2/13/2009,06:52:04,17:27:57
2/14/2009,06:50:47,17:29:09
2/15/2009,06:49:28,17:30:22
2/16/2009,06:48:09,17:31:34
2/17/2009,06:46:49,17:32:46
2/18/2009,06:45:27,17:33:58
2/19/2009,06:44:04,17:35:09
2/20/2009,06:42:40,17:36:20
2/21/2009,06:41:16,17:37:31
2/22/2009,06:39:50,17:38:41
2/23/2009,06:38:23,17:39:52
2/24/2009,06:36:55,17:41:01
2/25/2009,06:35:27,17:42:11
2/26/2009,06:33:58,17:43:20
2/27/2009,06:32:27,17:44:29
2/28/2009,06:30:57,17:45:38
3/1/2009,06:29:25,17:46:46
3/2/2009,06:27:53,17:47:54
3/3/2009,06:26:20,17:49:02
3/4/2009,06:24:46,17:50:09
3/5/2009,06:23:12,17:51:17
3/6/2009,06:21:37,17:52:23
3/7/2009,06:20:02,17:53:30
3/8/2009,06:18:26,17:54:36
3/9/2009,06:16:49,17:55:43
3/10/2009,06:15:13,17:56:48
3/11/2009,06:13:35,17:57:54
3/12/2009,06:11:58,17:58:59
3/13/2009,06:10:20,18:00:05
3/14/2009,06:08:42,18:01:10
3/15/2009,06:07:03,18:02:14
3/16/2009,06:05:25,18:03:19
3/17/2009,06:03:46,18:04:23
3/18/2009,06:02:07,18:05:28
3/19/2009,06:00:28,18:06:32
3/20/2009,05:58:48,18:07:36
3/21/2009,05:57:09,18:08:40
3/22/2009,05:55:29,18:09:43
3/23/2009,05:53:50,18:10:47
3/24/2009,05:52:10,18:11:50
3/25/2009,05:50:31,18:12:54
3/26/2009,05:48:51,18:13:57
3/27/2009,05:47:12,18:15:00
3/28/2009,05:45:33,18:16:03
3/29/2009,05:43:53,18:17:06
3/30/2009,05:42:15,18:18:09
3/31/2009,05:40:36,18:19:12
4/1/2009,05:38:57,18:20:15
4/2/2009,05:37:19,18:21:18
4/3/2009,05:35:41,18:22:21
4/4/2009,05:34:04,18:23:24
4/5/2009,05:32:26,18:24:27
4/6/2009,05:30:50,18:25:30
4/7/2009,05:29:13,18:26:33
4/8/2009,05:27:37,18:27:35
4/9/2009,05:26:02,18:28:38
4/10/2009,05:24:27,18:29:41
4/11/2009,05:22:52,18:30:44
4/12/2009,05:21:19,18:31:47
4/13/2009,05:19:45,18:32:50
4/14/2009,05:18:13,18:33:53
4/15/2009,05:16:41,18:34:56
4/16/2009,05:15:09,18:35:59
4/17/2009,05:13:39,18:37:02
4/18/2009,05:12:09,18:38:05
4/19/2009,05:10:40,18:39:08
4/20/2009,05:09:12,18:40:11
4/21/2009,05:07:45,18:41:14
4/22/2009,05:06:18,18:42:17
4/23/2009,05:04:53,18:43:20
4/24/2009,05:03:28,18:44:23
4/25/2009,05:02:05,18:45:26
4/26/2009,05:00:42,18:46:29
4/27/2009,04:59:20,18:47:32
4/28/2009,04:58:00,18:48:34
4/29/2009,04:56:41,18:49:37
4/30/2009,04:55:22,18:50:40
5/1/2009,04:54:05,18:51:42
5/2/2009,04:52:49,18:52:44
5/3/2009,04:51:35,18:53:46
5/4/2009,04:50:21,18:54:48
5/5/2009,04:49:09,18:55:50
5/6/2009,04:47:59,18:56:52
5/7/2009,04:46:49,18:57:53
5/8/2009,04:45:41,18:58:54
5/9/2009,04:44:35,18:59:55
5/10/2009,04:43:30,19:00:55
5/11/2009,04:42:26,19:01:55
5/12/2009,04:41:24,19:02:55
5/13/2009,04:40:23,19:03:54
5/14/2009,04:39:24,19:04:52
5/15/2009,04:38:27,19:05:51
5/16/2009,04:37:31,19:06:48
5/17/2009,04:36:37,19:07:46
5/18/2009,04:35:44,19:08:42
5/19/2009,04:34:54,19:09:38
5/20/2009,04:34:05,19:10:33
5/21/2009,04:33:17,19:11:28
5/22/2009,04:32:32,19:12:22
5/23/2009,04:31:48,19:13:15
5/24/2009,04:31:06,19:14:07
5/25/2009,04:30:26,19:14:58
5/26/2009,04:29:48,19:15:49
5/27/2009,04:29:12,19:16:38
5/28/2009,04:28:37,19:17:27
5/29/2009,04:28:05,19:18:14
5/30/2009,04:27:34,19:19:00
5/31/2009,04:27:06,19:19:46
6/1/2009,04:26:39,19:20:30
6/2/2009,04:26:14,19:21:13
6/3/2009,04:25:52,19:21:54
6/4/2009,04:25:31,19:22:34
6/5/2009,04:25:12,19:23:13
6/6/2009,04:24:55,19:23:51
6/7/2009,04:24:41,19:24:27
6/8/2009,04:24:28,19:25:02
6/9/2009,04:24:17,19:25:35
6/10/2009,04:24:08,19:26:07
6/11/2009,04:24:01,19:26:37
6/12/2009,04:23:57,19:27:05
6/13/2009,04:23:54,19:27:32
6/14/2009,04:23:53,19:27:57
6/15/2009,04:23:54,19:28:21
6/16/2009,04:23:57,19:28:42
6/17/2009,04:24:02,19:29:02
6/18/2009,04:24:09,19:29:20
6/19/2009,04:24:17,19:29:36
6/20/2009,04:24:28,19:29:51
6/21/2009,04:24:40,19:30:03
6/22/2009,04:24:55,19:30:14
6/23/2009,04:25:11,19:30:23
6/24/2009,04:25:28,19:30:29
6/25/2009,04:25:48,19:30:34
6/26/2009,04:26:09,19:30:37
